"","dead","dosages"
"271",1,1.8113
"272",1,1.8113
"273",1,1.8113
"274",1,1.8113
"275",1,1.8113
"276",1,1.8113
"277",1,1.8113
"278",1,1.8113
"279",1,1.8113
"280",1,1.8113
"281",1,1.8113
"282",1,1.8113
"283",1,1.8113
"284",1,1.8113
"285",1,1.8113
"286",1,1.8113
"287",1,1.8113
"288",1,1.8113
"289",1,1.8113
"290",0,1.8113
"291",0,1.8113
"292",0,1.8113
"293",0,1.8113
"294",0,1.8113
"295",0,1.8113
"296",0,1.8113
"297",0,1.8113
"298",0,1.8113
"299",0,1.8113
"300",0,1.8113
"301",1,1.8369
"302",1,1.8369
"303",1,1.8369
"304",1,1.8369
"305",1,1.8369
"306",1,1.8369
"307",1,1.8369
"308",1,1.8369
"309",1,1.8369
"310",1,1.8369
"311",1,1.8369
"312",1,1.8369
"313",1,1.8369
"314",1,1.8369
"315",1,1.8369
"316",1,1.8369
"317",1,1.8369
"318",1,1.8369
"319",1,1.8369
"320",1,1.8369
"321",1,1.8369
"322",1,1.8369
"323",1,1.8369
"324",1,1.8369
"325",1,1.8369
"326",1,1.8369
"327",1,1.8369
"328",1,1.8369
"329",1,1.8369
"330",1,1.8369
"331",1,1.8369
"332",1,1.8369
"333",1,1.8369
"334",1,1.8369
"335",1,1.8369
"336",1,1.8369
"337",1,1.8369
"338",1,1.8369
"339",1,1.8369
"340",1,1.8369
"341",1,1.8369
"342",1,1.8369
"343",1,1.8369
"344",1,1.8369
"345",1,1.8369
"346",1,1.8369
"347",1,1.8369
"348",1,1.8369
"349",1,1.8369
"350",1,1.8369
"351",1,1.8369
"352",1,1.8369
"353",1,1.8369
"354",0,1.8369
"355",0,1.8369
"356",0,1.8369
"357",0,1.8369
"358",0,1.8369
"359",0,1.8369
"360",1,1.861
"361",1,1.861
"362",1,1.861
"363",1,1.861
"364",1,1.861
"365",1,1.861
"366",1,1.861
"367",1,1.861
"368",1,1.861
"369",1,1.861
"370",1,1.861
"371",1,1.861
"372",1,1.861
"373",1,1.861
"374",1,1.861
"375",1,1.861
"376",1,1.861
"377",1,1.861
"378",1,1.861
"379",1,1.861
"380",1,1.861
"381",1,1.861
"382",1,1.861
"383",1,1.861
"384",1,1.861
"385",1,1.861
"386",1,1.861
"387",1,1.861
"388",1,1.861
"389",1,1.861
"390",1,1.861
"391",1,1.861
"392",1,1.861
"393",1,1.861
"394",1,1.861
"395",1,1.861
"396",1,1.861
"397",1,1.861
"398",1,1.861
"399",1,1.861
"400",1,1.861
"401",1,1.861
"402",1,1.861
"403",1,1.861
"404",1,1.861
"405",1,1.861
"406",1,1.861
"407",1,1.861
"408",1,1.861
"409",1,1.861
"410",1,1.861
"411",1,1.861
"412",1,1.861
"413",1,1.861
"414",1,1.861
"415",1,1.861
"416",1,1.861
"417",1,1.861
"418",1,1.861
"419",1,1.861
"420",1,1.861
"421",0,1.861
"422",1,1.8839
"423",1,1.8839
"424",1,1.8839
"425",1,1.8839
"426",1,1.8839
"427",1,1.8839
"428",1,1.8839
"429",1,1.8839
"430",1,1.8839
"431",1,1.8839
"432",1,1.8839
"433",1,1.8839
"434",1,1.8839
"435",1,1.8839
"436",1,1.8839
"437",1,1.8839
"438",1,1.8839
"439",1,1.8839
"440",1,1.8839
"441",1,1.8839
"442",1,1.8839
"443",1,1.8839
"444",1,1.8839
"445",1,1.8839
"446",1,1.8839
"447",1,1.8839
"448",1,1.8839
"449",1,1.8839
"450",1,1.8839
"451",1,1.8839
"452",1,1.8839
"453",1,1.8839
"454",1,1.8839
"455",1,1.8839
"456",1,1.8839
"457",1,1.8839
"458",1,1.8839
"459",1,1.8839
"460",1,1.8839
"461",1,1.8839
"462",1,1.8839
"463",1,1.8839
"464",1,1.8839
"465",1,1.8839
"466",1,1.8839
"467",1,1.8839
"468",1,1.8839
"469",1,1.8839
"470",1,1.8839
"471",1,1.8839
"472",1,1.8839
"473",1,1.8839
"474",1,1.8839
"475",1,1.8839
"476",1,1.8839
"477",1,1.8839
"478",1,1.8839
"479",1,1.8839
"480",1,1.8839
"481",1,1.8839
